Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Kalif Raymond,TEN,25,WR,8,1,1,-5,0,0,-5,-5.0,-0.6,1
Paul Richardson,WAS,27,WR,10,6,1,0,0,0,0,0.0,0.0,0
Andre Roberts*,BUF,31,WR,13,0,1,7,0,0,7,7.0,0.5,1
Allen Robinson,CHI,26,WR,16,15,1,2,0,0,2,2.0,0.1,0
Chester Rogers,IND,25,WR,12,6,1,18,0,1,18,18.0,1.5,2
Da'Mari Scott,NYG,24,WR,5,2,1,5,0,0,5,5.0,1.0,0
Golden Tate,NYG,31,WR,11,10,1,16,0,1,16,16.0,1.5,1
Michael Thomas*+,NOR,26,WR,16,15,1,-9,0,0,-9,-9.0,-0.6,1
Danny Vitale,GNB,26,RB,15,4,1,3,0,0,3,3.0,0.2,0
Greg Ward,PHI,24,WR,7,3,1,5,0,0,5,5.0,0.7,0
Mike Williams,LAC,25,WR,15,15,1,2,0,0,2,2.0,0.1,0
Jarius Wright,CAR,30,WR,16,9,1,-7,0,0,-7,-7.0,-0.4,0
